timestamp,vehicle,station,operation,details
2024-05-21,7,1178,add,4
2024-05-21,7,1178,warning,快要沒車
2024-05-21,7,1383,add,4
2024-05-21,7,1383,warning,快要沒車
2024-05-21,7,1335,add,4
2024-05-21,7,1335,warning,快要沒車
2024-05-21,7,1022,add,4
2024-05-21,7,1022,warning,快要沒車
2024-05-21,7,1696,add,4
2024-05-21,7,1696,warning,快要沒車
2024-05-21,7,1009,add,4
2024-05-21,7,1009,warning,快要沒車
2024-05-21,7,1290,add,2
2024-05-21,7,1085,add,1
2024-05-21,7,1085,warning,快要沒車
2024-05-21,8,1294,add,4
2024-05-21,8,1294,warning,快要沒車
2024-05-21,8,1314,add,4
2024-05-21,8,1314,warning,快要沒車
2024-05-21,8,1243,add,1
2024-05-21,8,1725,add,4
2024-05-21,8,1725,warning,快要沒車
2024-05-21,8,1071,add,2
2024-05-21,8,1336,add,4
2024-05-21,8,1336,warning,快要沒車
2024-05-21,8,1665,add,4
2024-05-21,8,1665,warning,快要沒車
2024-05-21,8,1178,add,4
2024-05-21,8,1178,warning,快要沒車
2024-05-21,8,1383,add,4
2024-05-21,8,1383,warning,快要沒車
2024-05-21,8,1335,add,4
2024-05-21,8,1335,warning,快要沒車
2024-05-21,8,1022,add,4
2024-05-21,8,1022,warning,快要沒車
2024-05-21,8,1696,add,4
2024-05-21,8,1696,warning,快要沒車
2024-05-21,8,1009,add,4
2024-05-21,8,1009,warning,快要沒車
2024-05-21,8,1290,add,2
2024-05-21,8,1085,add,1
2024-05-21,8,1085,warning,快要沒車
2024-05-21,9,1294,add,4
2024-05-21,9,1294,warning,快要沒車
2024-05-21,9,1314,add,4
2024-05-21,9,1314,warning,快要沒車
2024-05-21,9,1243,add,1
2024-05-21,9,1725,add,4
2024-05-21,9,1725,warning,快要沒車
2024-05-21,9,1071,add,2
2024-05-21,9,1336,add,4
2024-05-21,9,1336,warning,快要沒車
2024-05-21,9,1665,add,4
2024-05-21,9,1665,warning,快要沒車
2024-05-21,9,1178,add,4
2024-05-21,9,1178,warning,快要沒車
2024-05-21,9,1383,add,4
2024-05-21,9,1383,warning,快要沒車
2024-05-21,9,1335,add,4
2024-05-21,9,1335,warning,快要沒車
2024-05-21,9,1022,add,4
2024-05-21,9,1022,warning,快要沒車
2024-05-21,9,1696,add,4
2024-05-21,9,1696,warning,快要沒車
